initialorder	side	order	BigCriteria	criteria	choice	objecttype	weightwithincriteria	BigCriteria_en	criteria_en	choice_en	BigCriteria_de	criteria_de	choice_de	BigCriteria_it	criteria_it	choice_it
	effecttrait	8	biodiversity	Mykorrhiza	EM	checkboxGroupInput		biodiversity	Mycorrhiza (only for vitiforst and truffle categories)	EM	biodiversity	Mykorrhiza (nur fûr vitiforst und trüfle)	EM	biodiversità	Micorrize (solamente vitiforst e truffle)	EM
	effecttrait	8	biodiversity	Mykorrhiza	EM (+AM)	checkboxGroupInput		biodiversity	Mycorrhiza (only for vitiforst and truffle categories)	EM (+AM)	biodiversity	Mykorrhiza (nur fûr vitiforst und trüfle)	EM (+AM)	biodiversità	Micorrize (solamente vitiforst e truffle)	EM (+AM)
	information	9	information	Bemerkung		information		information	Remark	NA	information	Bemerkung	NA	informazioni	Osservazione	NA
	information	10	information	Empfohlene.Sorte		information		information	Recommended.variety	NA	information	Empfohlene.Sorte	NA	informazioni	Varietà raccomandata	NA
	information	11	information	Befruchtung.(bspw..mehrere.Sorten)		information		information	Fertilization.(e.g..several.varieties)	NA	information	Befruchtung.(bspw..mehrere.Sorten)	NA	informazioni	Concimazione (ad es. diverse varietà)	NA
	information	12	information	Pflanzabstand.und.Position.in.der.Hecke		information		information	Plant.spacing.and.position.in.the.hedge	NA	information	Pflanzabstand.und.Position.in.der.Hecke	NA	informazioni	Spaziatura.delle.piante.e.posizione.nella.siepe	NA
	information	13	information	Bemerkungen		information		information	Remarks	NA	information	Bemerkungen	NA	informazioni	Osservazioni	NA
	effecttrait	14	size	Height	0	sliderInput		size	Height	0	size	Height	0	dimensioni	Altezza	0
	effecttrait	14	size	Height	40	sliderInput		size	Height	30	size	Height	30	dimensioni	Altezza	30
	effecttrait	15	size	Width	0	sliderInput		size	Width	0	size	Width	0	dimensioni	Larghezza	0
	effecttrait	15	size	Width	15	sliderInput		size	Width	30	size	Width	30	dimensioni	Larghezza	30
	information	16	information	Comments		information		information	Comments		information	Comments		informazioni	Commenti	
	responsetrait	17	work	Blütezeit	0	sliderInput		work	Flowering time	0	work	Blütezeit	0	lavoro	Tempo di fioritura	0
	responsetrait	17	work	Blütezeit	12	sliderInput		work	Flowering time	12	work	Blütezeit	12	lavoro	Tempo di fioritura	12
	responsetrait	18	work	Erntezeit	0	sliderInput		work	Harvest time	0	work	Erntezeit	0	lavoro	Tempo di raccolta	0
	responsetrait	18	work	Erntezeit	12	sliderInput		work	Harvest time	12	work	Erntezeit	12	lavoro	Tempo di raccolta	12
